player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1011669,22514,8,0,8,,47081.0,4447750.0,CURRENT_NATIONAL_PLAYER
1011669,28162,3,0,0,,109318.0,3944026.0,FORMER_NATIONAL_PLAYER
1011738,21340,0,0,0,,9635.0,2371100.0,CURRENT_NATIONAL_PLAYER
1011738,23260,9,0,18,,94541.0,4197891.0,FORMER_NATIONAL_PLAYER
1011738,30322,0,0,3,,17436.0,2368063.0,FORMER_NATIONAL_PLAYER
1011738,31269,7,0,0,,89675.0,4447744.0,RECENT_NATIONAL_PLAYER
1011738,53638,0,0,3,,,,FORMER_NATIONAL_PLAYER
10118,9568,1,0,12,,4097.0,4350892.0,FORMER_NATIONAL_PLAYER
10118,22462,1,0,0,,,,FORMER_NATIONAL_PLAYER
10118,22584,3,0,0,,,,FORMER_NATIONAL_PLAYER
10118,39417,4,0,1,,784.0,2437572.0,FORMER_NATIONAL_PLAYER
101201,3585,7,0,10,,24383.0,3541229.0,FORMER_NATIONAL_PLAYER
101201,9315,14,4,9,,,,RETIRED_NATIONAL_PLAYER
101201,16337,9,3,0,,,,RETIRED_NATIONAL_PLAYER
101201,16338,18,2,17,,,,RETIRED_NATIONAL_PLAYER
101201,16339,2,1,0,,,,RETIRED_NATIONAL_PLAYER
101201,23219,8,3,0,,,,RETIRED_NATIONAL_PLAYER
10121,9568,19,0,0,,,,FORMER_NATIONAL_PLAYER
10121,22585,5,0,0,,60108.0,3367526.0,FORMER_NATIONAL_PLAYER
101213,9567,2,0,18,,6615.0,2289809.0,RETIRED_NATIONAL_PLAYER
101213,12395,2,0,0,,,,RETIRED_NATIONAL_PLAYER
101213,12609,3,0,6,,6765.0,3905154.0,RETIRED_NATIONAL_PLAYER
101213,13485,19,3,14,,38235.0,3112980.0,RECENT_NATIONAL_PLAYER
101213,20911,0,0,0,,,,RETIRED_NATIONAL_PLAYER
10122,3381,1,0,3,,253.0,1048450.0,FORMER_NATIONAL_PLAYER
10122,9568,2,0,13,,4097.0,2932218.0,FORMER_NATIONAL_PLAYER
10122,39417,5,0,5,,10484.0,2437571.0,FORMER_NATIONAL_PLAYER
10128,9568,3,0,0,,,,FORMER_NATIONAL_PLAYER
10128,22462,15,8,0,,23398.0,2370452.0,FORMER_NATIONAL_PLAYER
10128,22584,9,7,0,,,,FORMER_NATIONAL_PLAYER
10128,22585,6,3,0,,,,FORMER_NATIONAL_PLAYER
10128,22586,4,1,0,,809.0,2370789.0,FORMER_NATIONAL_PLAYER
10128,28161,30,18,0,,,,FORMER_NATIONAL_PLAYER
10128,34692,10,0,0,,,,FORMER_NATIONAL_PLAYER
10132,9568,2,0,0,,4097.0,3336060.0,FORMER_NATIONAL_PLAYER
101317,3299,78,5,0,,461.0,1182003.0,FORMER_NATIONAL_PLAYER
101317,9565,1,0,0,,26719.0,2977101.0,FORMER_NATIONAL_PLAYER
10133,28161,3,0,0,,,,FORMER_NATIONAL_PLAYER
10134,9568,1,0,17,,789.0,4353828.0,FORMER_NATIONAL_PLAYER
10134,39417,1,0,14,,10484.0,2437571.0,FORMER_NATIONAL_PLAYER
1013399,31372,2,0,15,,11925.0,3808302.0,FORMER_NATIONAL_PLAYER
1013477,23134,1,0,13,,43332.0,4182139.0,FORMER_NATIONAL_PLAYER
1013477,25514,0,0,0,,,,FORMER_NATIONAL_PLAYER
10135,5547,29,8,10,,9182.0,1073399.0,FORMER_NATIONAL_PLAYER
10135,20267,4,1,0,,629.0,4352648.0,FORMER_NATIONAL_PLAYER
10135,28147,3,0,0,,,,FORMER_NATIONAL_PLAYER
1013778,30503,0,0,0,,,,FORMER_NATIONAL_PLAYER
1013713,16371,2,0,12,,11925.0,4354431.0,FORMER_NATIONAL_PLAYER
1013713,16373,0,0,22,,,3531834.0,FORMER_NATIONAL_PLAYER
1013713,30503,0,0,0,,,,FORMER_NATIONAL_PLAYER
1013713,31372,0,0,0,,,2456474.0,FORMER_NATIONAL_PLAYER
10138,39417,4,0,18,,4776.0,2347120.0,FORMER_NATIONAL_PLAYER
10139,39417,3,0,7,,784.0,2437572.0,FORMER_NATIONAL_PLAYER
1013805,21102,0,0,17,,16198.0,2483946.0,CURRENT_NATIONAL_PLAYER
1013805,25565,3,0,17,,43395.0,4438711.0,RECENT_NATIONAL_PLAYER
1013805,25793,5,2,0,,31055.0,4146847.0,FORMER_NATIONAL_PLAYER
1013805,26035,9,3,17,,31055.0,4169575.0,FORMER_NATIONAL_PLAYER
1013805,34690,4,0,10,,53335.0,3784008.0,FORMER_NATIONAL_PLAYER
1013932,28208,0,0,18,,,,CURRENT_NATIONAL_PLAYER
1013932,42665,3,0,10,,75812.0,4585337.0,RECENT_NATIONAL_PLAYER
1013929,28208,0,0,9,,,,FORMER_NATIONAL_PLAYER
1013929,42665,2,0,20,,75812.0,4585338.0,RECENT_NATIONAL_PLAYER
10143,3381,39,10,10,,253.0,1048447.0,FORMER_NATIONAL_PLAYER
10143,9568,21,3,10,,4097.0,4350228.0,FORMER_NATIONAL_PLAYER
10143,22585,4,1,11,,,,FORMER_NATIONAL_PLAYER
10143,22586,2,0,16,,,,FORMER_NATIONAL_PLAYER
10143,39417,3,0,9,,4776.0,2347123.0,FORMER_NATIONAL_PLAYER
